podNumber,timestamp,consumptionKwh,productionKwh
CH1008400000000000000000000012345,2025-12-01 00:00,0.36,0.0
CH1008400000000000000000000012346,2025-12-01 00:00,0.25,0.0
CH1008400000000000000000000012347,2025-12-01 00:00,0.25,0.0
CH1008400000000000000000000012348,2025-12-01 00:00,0.2,0.0
CH1008400000000000000000000012349,2025-12-01 00:00,0.3,0.0
CH1008400000000000000000000012350,2025-12-01 00:00,0.33,0.0
CH1008400000000000000000000012351,2025-12-01 00:00,0.42,0.0
CH1008400000000000000000000012352,2025-12-01 00:00,0.43,0.0
CH1008400000000000000000000012353,2025-12-01 00:00,0.3,0.0
CH1008400000000000000000000012354,2025-12-01 00:00,0.2,0.0
CH1008400000000000000000000012355,2025-12-01 00:00,0.34,0.0
CH1008400000000000000000000012356,2025-12-01 00:00,0.35,0.0
CH1008400000000000000000000012345,2025-12-01 01:00,0.32,0.0
CH1008400000000000000000000012346,2025-12-01 01:00,0.44,0.0
CH1008400000000000000000000012347,2025-12-01 01:00,0.37,0.0
CH1008400000000000000000000012348,2025-12-01 01:00,0.24,0.0
CH1008400000000000000000000012349,2025-12-01 01:00,0.46,0.0
CH1008400000000000000000000012350,2025-12-01 01:00,0.5,0.0
CH1008400000000000000000000012351,2025-12-01 01:00,0.5,0.0
CH1008400000000000000000000012352,2025-12-01 01:00,0.22,0.0
CH1008400000000000000000000012353,2025-12-01 01:00,0.37,0.0
CH1008400000000000000000000012354,2025-12-01 01:00,0.3,0.0
CH1008400000000000000000000012355,2025-12-01 01:00,0.28,0.0
CH1008400000000000000000000012356,2025-12-01 01:00,0.25,0.0
CH1008400000000000000000000012345,2025-12-01 02:00,0.25,0.0
CH1008400000000000000000000012346,2025-12-01 02:00,0.33,0.0
CH1008400000000000000000000012347,2025-12-01 02:00,0.27,0.0
CH1008400000000000000000000012348,2025-12-01 02:00,0.35,0.0
CH1008400000000000000000000012349,2025-12-01 02:00,0.36,0.0
CH1008400000000000000000000012350,2025-12-01 02:00,0.39,0.0
CH1008400000000000000000000012351,2025-12-01 02:00,0.28,0.0
CH1008400000000000000000000012352,2025-12-01 02:00,0.2,0.0
CH1008400000000000000000000012353,2025-12-01 02:00,0.22,0.0
CH1008400000000000000000000012354,2025-12-01 02:00,0.26,0.0
CH1008400000000000000000000012355,2025-12-01 02:00,0.22,0.0
CH1008400000000000000000000012356,2025-12-01 02:00,0.4,0.0
CH1008400000000000000000000012345,2025-12-01 03:00,0.45,0.0
CH1008400000000000000000000012346,2025-12-01 03:00,0.32,0.0
CH1008400000000000000000000012347,2025-12-01 03:00,0.31,0.0
CH1008400000000000000000000012348,2025-12-01 03:00,0.25,0.0
CH1008400000000000000000000012349,2025-12-01 03:00,0.29,0.0
CH1008400000000000000000000012350,2025-12-01 03:00,0.26,0.0
CH1008400000000000000000000012351,2025-12-01 03:00,0.23,0.0
CH1008400000000000000000000012352,2025-12-01 03:00,0.41,0.0
CH1008400000000000000000000012353,2025-12-01 03:00,0.24,0.0
CH1008400000000000000000000012354,2025-12-01 03:00,0.4,0.0
CH1008400000000000000000000012355,2025-12-01 03:00,0.27,0.0
CH1008400000000000000000000012356,2025-12-01 03:00,0.3,0.0
CH1008400000000000000000000012345,2025-12-01 04:00,0.25,0.0
CH1008400000000000000000000012346,2025-12-01 04:00,0.27,0.0
CH1008400000000000000000000012347,2025-12-01 04:00,0.31,0.0
CH1008400000000000000000000012348,2025-12-01 04:00,0.32,0.0
CH1008400000000000000000000012349,2025-12-01 04:00,0.37,0.0
CH1008400000000000000000000012350,2025-12-01 04:00,0.45,0.0
CH1008400000000000000000000012351,2025-12-01 04:00,0.26,0.0
CH1008400000000000000000000012352,2025-12-01 04:00,0.18,0.0
CH1008400000000000000000000012353,2025-12-01 04:00,0.17,0.0
CH1008400000000000000000000012354,2025-12-01 04:00,0.35,0.0
CH1008400000000000000000000012355,2025-12-01 04:00,0.35,0.0
CH1008400000000000000000000012356,2025-12-01 04:00,0.25,0.0
CH1008400000000000000000000012345,2025-12-01 05:00,0.35,0.0
CH1008400000000000000000000012346,2025-12-01 05:00,0.16,0.0
CH1008400000000000000000000012347,2025-12-01 05:00,0.2,0.0
CH1008400000000000000000000012348,2025-12-01 05:00,0.33,0.0
CH1008400000000000000000000012349,2025-12-01 05:00,0.39,0.0
CH1008400000000000000000000012350,2025-12-01 05:00,0.46,0.0
CH1008400000000000000000000012351,2025-12-01 05:00,0.29,0.0
CH1008400000000000000000000012352,2025-12-01 05:00,0.31,0.0
CH1008400000000000000000000012353,2025-12-01 05:00,0.23,0.0
CH1008400000000000000000000012354,2025-12-01 05:00,0.22,0.0
CH1008400000000000000000000012355,2025-12-01 05:00,0.17,0.0
CH1008400000000000000000000012356,2025-12-01 05:00,0.27,0.0
CH1008400000000000000000000012345,2025-12-01 06:00,1.19,0.0
CH1008400000000000000000000012346,2025-12-01 06:00,1.11,0.0
CH1008400000000000000000000012347,2025-12-01 06:00,0.63,0.0
CH1008400000000000000000000012348,2025-12-01 06:00,0.73,0.0
CH1008400000000000000000000012349,2025-12-01 06:00,1.03,0.0
CH1008400000000000000000000012350,2025-12-01 06:00,1.02,0.0
CH1008400000000000000000000012351,2025-12-01 06:00,0.57,0.0
CH1008400000000000000000000012352,2025-12-01 06:00,0.57,0.0
CH1008400000000000000000000012353,2025-12-01 06:00,0.83,0.0
CH1008400000000000000000000012354,2025-12-01 06:00,0.83,0.0
CH1008400000000000000000000012355,2025-12-01 06:00,0.44,0.0
CH1008400000000000000000000012356,2025-12-01 06:00,1.21,0.0
CH1008400000000000000000000012345,2025-12-01 07:00,1.1,0.06
CH1008400000000000000000000012346,2025-12-01 07:00,0.79,0.04
CH1008400000000000000000000012347,2025-12-01 07:00,0.67,0.0
CH1008400000000000000000000012348,2025-12-01 07:00,0.8,0.09
CH1008400000000000000000000012349,2025-12-01 07:00,0.95,0.0
CH1008400000000000000000000012350,2025-12-01 07:00,0.92,0.04
CH1008400000000000000000000012351,2025-12-01 07:00,0.81,0.0
CH1008400000000000000000000012352,2025-12-01 07:00,0.58,0.0
CH1008400000000000000000000012353,2025-12-01 07:00,0.74,0.07
CH1008400000000000000000000012354,2025-12-01 07:00,0.88,0.0
CH1008400000000000000000000012355,2025-12-01 07:00,0.68,0.05
CH1008400000000000000000000012356,2025-12-01 07:00,0.94,0.0
CH1008400000000000000000000012345,2025-12-01 08:00,0.95,0.18
CH1008400000000000000000000012346,2025-12-01 08:00,1.15,0.12
CH1008400000000000000000000012347,2025-12-01 08:00,0.74,0.0
CH1008400000000000000000000012348,2025-12-01 08:00,0.56,0.26
CH1008400000000000000000000012349,2025-12-01 08:00,0.86,0.0
CH1008400000000000000000000012350,2025-12-01 08:00,0.96,0.1
CH1008400000000000000000000012351,2025-12-01 08:00,0.72,0.0
CH1008400000000000000000000012352,2025-12-01 08:00,0.69,0.0
CH1008400000000000000000000012353,2025-12-01 08:00,0.81,0.19
CH1008400000000000000000000012354,2025-12-01 08:00,0.76,0.0
CH1008400000000000000000000012355,2025-12-01 08:00,0.89,0.15
CH1008400000000000000000000012356,2025-12-01 08:00,0.81,0.0
CH1008400000000000000000000012345,2025-12-01 09:00,0.42,0.41
CH1008400000000000000000000012346,2025-12-01 09:00,0.77,0.3
CH1008400000000000000000000012347,2025-12-01 09:00,0.71,0.0
CH1008400000000000000000000012348,2025-12-01 09:00,0.66,0.59
CH1008400000000000000000000012349,2025-12-01 09:00,0.65,0.0
CH1008400000000000000000000012350,2025-12-01 09:00,0.74,0.25
CH1008400000000000000000000012351,2025-12-01 09:00,0.29,0.0
CH1008400000000000000000000012352,2025-12-01 09:00,0.55,0.0
CH1008400000000000000000000012353,2025-12-01 09:00,0.41,0.46
CH1008400000000000000000000012354,2025-12-01 09:00,0.89,0.0
CH1008400000000000000000000012355,2025-12-01 09:00,0.42,0.35
CH1008400000000000000000000012356,2025-12-01 09:00,0.58,0.0
CH1008400000000000000000000012345,2025-12-01 10:00,0.52,0.76
CH1008400000000000000000000012346,2025-12-01 10:00,0.56,0.49
CH1008400000000000000000000012347,2025-12-01 10:00,0.51,0.0
CH1008400000000000000000000012348,2025-12-01 10:00,0.5,1.02
CH1008400000000000000000000012349,2025-12-01 10:00,0.58,0.0
CH1008400000000000000000000012350,2025-12-01 10:00,0.51,0.47
CH1008400000000000000000000012351,2025-12-01 10:00,0.69,0.0
CH1008400000000000000000000012352,2025-12-01 10:00,0.77,0.0
CH1008400000000000000000000012353,2025-12-01 10:00,0.53,0.83
CH1008400000000000000000000012354,2025-12-01 10:00,0.63,0.0
CH1008400000000000000000000012355,2025-12-01 10:00,0.38,0.56
CH1008400000000000000000000012356,2025-12-01 10:00,0.71,0.0
CH1008400000000000000000000012345,2025-12-01 11:00,0.55,0.95
CH1008400000000000000000000012346,2025-12-01 11:00,0.47,0.76
CH1008400000000000000000000012347,2025-12-01 11:00,0.34,0.0
CH1008400000000000000000000012348,2025-12-01 11:00,0.5,1.34
CH1008400000000000000000000012349,2025-12-01 11:00,0.42,0.0
CH1008400000000000000000000012350,2025-12-01 11:00,0.67,0.67
CH1008400000000000000000000012351,2025-12-01 11:00,0.68,0.0
CH1008400000000000000000000012352,2025-12-01 11:00,0.33,0.0
CH1008400000000000000000000012353,2025-12-01 11:00,0.32,1.22
CH1008400000000000000000000012354,2025-12-01 11:00,0.57,0.0
CH1008400000000000000000000012355,2025-12-01 11:00,0.44,0.86
CH1008400000000000000000000012356,2025-12-01 11:00,0.7,0.0
CH1008400000000000000000000012345,2025-12-01 12:00,0.5,1.19
CH1008400000000000000000000012346,2025-12-01 12:00,0.95,0.9
CH1008400000000000000000000012347,2025-12-01 12:00,0.67,0.0
CH1008400000000000000000000012348,2025-12-01 12:00,0.9,1.65
CH1008400000000000000000000012349,2025-12-01 12:00,0.68,0.0
CH1008400000000000000000000012350,2025-12-01 12:00,0.72,0.76
CH1008400000000000000000000012351,2025-12-01 12:00,0.81,0.0
CH1008400000000000000000000012352,2025-12-01 12:00,0.74,0.0
